material_id,source_path,ext_kind,size_bytes,sha256,is_duplicate,duplicate_of,detected_lang_hint,material_role
mat_0047,themes/03-Transformer/lab/solutions/01_transformer_encoder_order_toy_solution.ipynb,ipynb,66847,5cefabe463c518512bd7213f2d59a8d4c7f9bd9a436c9877c375c27be31eb16d,False,,mixed,lab_solution
mat_0048,themes/03-Transformer/lab/solutions/02_transformer_encoder_imdb_solution.ipynb,ipynb,66293,0dcc17683e2873a413ac870af1b4a6ae5ccc6033b88d0c7a710d3b32d682c332,False,,mixed,lab_solution
mat_0049,themes/03-Transformer/theory/theory.md,md,15070,e6e3125bab3c378b8122671d7b7c0bd3f008544a1e1772f6bd7dbae3b6039d8c,False,,mixed,theory
mat_0050,themes/04-Autoregression/lab/01_decoder_only_causal_toy.ipynb,ipynb,41106,47e4ffd4a3f0e7c0082210c638f32270cae7aa9f637b4275ea8ef17cbc538adb,False,,mixed,lab
mat_0051,themes/04-Autoregression/lab/02_decoder_only_tiny_shakespeare.ipynb,ipynb,40268,2818ec840433427b5050a0aea274428185e6501ca4386af7fc76f49714fe4a0f,False,,mixed,lab
mat_0052,themes/04-Autoregression/lab/02_decoder_only_tiny_shakespeare_gpu.ipynb,ipynb,59119,5a3c9f6a8638156613375e39263ace41bd33fa5c87e50c8a450d12402de103ee,False,,mixed,lab
mat_0053,themes/04-Autoregression/lab/guides/00_autoregression_prerequisites.md,md,2657,dd675a8db60405d0995ae6c4213993fa66bc2d0ed59f275735faf80d780165ab,False,,mixed,lab_guide
mat_0054,themes/04-Autoregression/lab/guides/01_decoder_only_toy_walkthrough.md,md,3440,f3e85b9a740750f64b090cf7f909e86e6efcd7d7a6c36c57bbae9a2cd91e9bb4,False,,mixed,lab_guide
mat_0055,themes/04-Autoregression/lab/guides/02_autoregression_debugging_playbook.md,md,3849,091d87781cfca5554546b97bbb2c0aad3debe5aa1d824eafecb9b16616f231ed,False,,mixed,lab_guide
mat_0056,themes/04-Autoregression/lab/guides/03_tiny_shakespeare_walkthrough.md,md,3091,3c09e12c9e68fd8ccc826715eca9572fcc285e88df2a75500541ec5e620b1e53,False,,mixed,lab_guide
mat_0057,themes/04-Autoregression/lab/guides/04_tiny_shakespeare_debugging_playbook.md,md,3390,e63f2e567fc33ca67704324a104aff2d1d6b45a168d9a483b44519c2d3652c4d,False,,mixed,lab_guide
mat_0058,themes/04-Autoregression/lab/guides/05_tiny_shakespeare_gpu_walkthrough.md,md,7301,a9465ab666d9400b1be7beafb6bc2040acba63e02a7d48917b9c7e846c49958c,False,,mixed,lab_guide
mat_0059,themes/04-Autoregression/lab/guides/06_tiny_shakespeare_gpu_debugging_playbook.md,md,7432,fcd59f3fb8602b8dc713c383b944830751287cf1c9abd6a2ffe198f04343132d,False,,mixed,lab_guide
mat_0060,themes/04-Autoregression/lab/guides/07_lr04_local_gpu_tf221_checklist.md,md,3651,e54d3cd87ff357992dc97d3ae24e7f55cc86464681cbf1a932004d6b575ba891,False,,mixed,lab_guide
mat_0061,themes/04-Autoregression/lab/solutions/01_decoder_only_causal_toy_solution.ipynb,ipynb,45765,e2c6fb270fdb68b50a9d148490c63d3aeec3e322f6643daf6e1eb35081608588,False,,mixed,lab_solution
mat_0062,themes/04-Autoregression/lab/solutions/02_decoder_only_tiny_shakespeare_gpu_solution.ipynb,ipynb,81487,a5a030f8adc54561a79688b4c345962bfde3a62ef690a8d75661fd475a894d3e,False,,mixed,lab_solution
mat_0063,themes/04-Autoregression/lab/solutions/02_decoder_only_tiny_shakespeare_solution.ipynb,ipynb,47311,2c02d46639d8e654a0460c98dfeb4a2df354a22992a2092b938571c6157f01ee,False,,mixed,lab_solution
mat_0064,themes/04-Autoregression/theory/theory.md,md,13601,57b01d8d81c89d517a4be25a2e2ec9ee3b5ce00c0a1e72c2228110cec548d6e1,False,,mixed,theory
mat_0065,themes/05-Full-Transformer/lab/01_full_transformer_tiny_shakespeare.ipynb,ipynb,44337,2fd079ff83e9f3e2ffbfeb8907c5a4e089e5f2cf58d511a703a3af25af6663c3,False,,mixed,lab
mat_0066,themes/05-Full-Transformer/lab/guides/00_full_transformer_prerequisites.md,md,2654,537406b74f904044cc9693e483be1dc8f6ddb0583fa996e96174cac9f2d82353,False,,mixed,lab_guide
mat_0067,themes/05-Full-Transformer/lab/guides/01_full_transformer_walkthrough.md,md,3624,6633e0183b8f429744c9c19849b093e206225eb6c2a8015acfc8979d52b73718,False,,mixed,lab_guide
mat_0068,themes/05-Full-Transformer/lab/guides/02_full_transformer_debugging_playbook.md,md,3613,cbbf3b32048c8155b6092f982e805ce611f9bb6cd83f5e5168729bf6a0b4278d,False,,mixed,lab_guide
mat_0069,themes/05-Full-Transformer/lab/solutions/01_full_transformer_wikitext2_solution.ipynb,ipynb,74021,dbad40bc27acac48ae99f83c2064c6a38d40c0d3cc6355a08b49ed8cb81b062a,False,,mixed,lab_solution
mat_0070,themes/05-Full-Transformer/theory/theory.md,md,10512,20207659f2fa42297eae40b69626290199575f7849989872815e9153aff6a3ec,False,,mixed,theory
